Zone,Type,Is a Brand?,Is linked?,NIC URL
gmbh,g,false,❌,nic.gmbh
gmo,g,true,❌,nic.gmo
gmx,g,true,❌,nic.gmx
gn,cc,false,❌,nic.gn
godaddy,g,true,❌,nic.godaddy
gold,g,false,❌,nic.gold
goldpoint,g,true,❌,nic.goldpoint
golf,g,false,❌,nic.golf
goo,g,true,❌,nic.goo
goodyear,g,true,❌,nic.goodyear
goog,g,true,❌,nic.goog
google,g,true,✅,nic.google
gop,g,false,❌,nic.gop
got,g,true,❌,nic.got
gov,g,false,✅,nic.gov
gp,cc,false,❌,nic.gp
gq,cc,false,❌,nic.gq
gr,cc,false,✅,nic.gr
grainger,g,true,❌,nic.grainger
graphics,g,false,❌,nic.graphics
gratis,g,false,❌,nic.gratis
green,g,false,❌,nic.green
gripe,g,false,❌,nic.gripe
grocery,g,false,❌,nic.grocery
group,g,false,❌,nic.group
gs,cc,false,❌,nic.gs
gt,cc,false,❌,nic.gt
gu,cc,false,❌,nic.gu
gucci,g,true,❌,nic.gucci
guge,g,true,❌,nic.guge
guide,g,false,❌,nic.guide
guitars,g,false,❌,nic.guitars
guru,g,false,❌,nic.guru
gw,cc,false,❌,nic.gw
gy,cc,false,❌,nic.gy
hair,g,false,❌,nic.hair
hamburg,g,false,❌,nic.hamburg
hangout,g,false,❌,nic.hangout
haus,g,false,❌,nic.haus
hbo,g,true,❌,nic.hbo
hdfc,g,true,❌,nic.hdfc
hdfcbank,g,true,❌,nic.hdfcbank
health,g,false,❌,nic.health
healthcare,g,false,❌,nic.healthcare
help,g,false,❌,nic.help
helsinki,g,false,❌,nic.helsinki
here,g,false,❌,nic.here
hermes,g,true,❌,nic.hermes
hiphop,g,false,❌,nic.hiphop
hisamitsu,g,true,❌,nic.hisamitsu
hitachi,g,true,❌,nic.hitachi
hiv,g,false,❌,nic.hiv
hk,cc,false,✅,nic.hk
hkt,g,true,❌,nic.hkt
hm,cc,false,❌,nic.hm
hn,cc,false,✅,nic.hn
hockey,g,false,❌,nic.hockey
holdings,g,false,❌,nic.holdings
holiday,g,false,❌,nic.holiday
homedepot,g,true,❌,nic.homedepot
homegoods,g,true,❌,nic.homegoods
homes,g,false,❌,nic.homes
homesense,g,true,❌,nic.homesense
honda,g,true,❌,nic.honda
horse,g,false,❌,nic.horse
hospital,g,false,❌,nic.hospital
host,g,false,❌,nic.host
hosting,g,false,❌,nic.hosting
hot,g,false,❌,nic.hot
hotels,g,false,❌,nic.hotels
hotmail,g,true,❌,nic.hotmail
house,g,false,❌,nic.house
how,g,false,❌,nic.how
hr,cc,false,✅,nic.hr
hsbc,g,true,❌,nic.hsbc
ht,cc,false,❌,nic.ht
hu,cc,false,✅,nic.hu
hughes,g,true,❌,nic.hughes
hyatt,g,true,❌,nic.hyatt
hyundai,g,true,❌,nic.hyundai
ibm,g,true,❌,nic.ibm
icbc,g,true,❌,nic.icbc
ice,g,true,❌,nic.ice
icu,g,true,❌,nic.icu
id,cc,false,✅,nic.id
ie,cc,false,✅,nic.ie
ieee,g,true,❌,nic.ieee
ifm,g,true,❌,nic.ifm
ikano,g,true,❌,nic.ikano
il,cc,false,✅,nic.il
im,cc,false,❌,nic.im
imamat,g,true,❌,nic.imamat
imdb,g,true,❌,nic.imdb
immo,g,false,❌,nic.immo
immobilien,g,false,❌,nic.immobilien
in,cc,false,✅,nic.in
inc,g,false,❌,nic.inc
industries,g,false,❌,nic.industries
infiniti,g,true,❌,nic.infiniti
info,g,false,✅,nic.info
ing,g,false,❌,nic.ing
ink,g,false,❌,nic.ink
institute,g,false,❌,nic.institute
insurance,g,false,❌,nic.insurance
insure,g,false,❌,nic.insure
int,g,false,❌,nic.int
international,g,false,❌,nic.international
intuit,g,true,❌,nic.intuit
investments,g,false,❌,nic.investments
io,cc,false,✅,nic.io
ipiranga,g,true,❌,nic.ipiranga
iq,cc,false,❌,nic.iq
ir,cc,false,✅,nic.ir
irish,g,false,❌,nic.irish
is,cc,false,✅,nic.is
ismaili,g,true,❌,nic.ismaili
ist,g,false,❌,nic.ist
istanbul,g,false,❌,nic.istanbul
it,cc,false,✅,nic.it
itau,g,true,❌,nic.itau
itv,g,true,❌,nic.itv
jaguar,g,true,❌,nic.jaguar
java,g,true,❌,nic.java
jcb,g,true,❌,nic.jcb
je,cc,false,❌,nic.je
jeep,g,true,❌,nic.jeep
jetzt,g,false,❌,nic.jetzt
jewelry,g,false,❌,nic.jewelry
jio,g,true,❌,nic.jio
jll,g,true,❌,nic.jll
jm,cc,false,❌,nic.jm
jmp,g,true,❌,nic.jmp
jnj,g,true,❌,nic.jnj
jo,cc,false,✅,nic.jo
jobs,g,false,❌,nic.jobs
joburg,g,false,❌,nic.joburg
jot,g,false,❌,nic.jot
joy,g,false,❌,nic.joy
jp,cc,false,✅,nic.jp
jpmorgan,g,true,❌,nic.jpmorgan
jprs,g,true,❌,nic.jprs
juegos,g,false,❌,nic.juegos
juniper,g,true,❌,nic.juniper
kaufen,g,false,❌,nic.kaufen
kddi,g,true,❌,nic.kddi
ke,cc,false,❌,nic.ke
kerryhotels,g,true,❌,nic.kerryhotels
kerryproperties,g,true,❌,nic.kerryproperties
kfh,g,true,❌,nic.kfh
kg,cc,false,❌,nic.kg
kh,cc,false,❌,nic.kh
ki,cc,false,❌,nic.ki
kia,g,true,❌,nic.kia
kids,g,false,❌,nic.kids
kim,g,false,❌,nic.kim
kindle,g,true,❌,nic.kindle
kitchen,g,false,❌,nic.kitchen
kiwi,g,false,❌,nic.kiwi
km,cc,false,❌,nic.km
kn,cc,false,❌,nic.kn
koeln,g,false,❌,nic.koeln
komatsu,g,true,❌,nic.komatsu
