Zone,Type,Brand,AutoLinked
mini,gtld,true,false
mint,gtld,true,false
mit,gtld,true,false
mitsubishi,gtld,true,false
mk,cctld,false,true
ml,cctld,false,true
mlb,gtld,true,false
mls,gtld,false,false
mm,cctld,false,true
mma,gtld,true,false
mn,cctld,false,true
mo,cctld,false,true
mobi,gtld,false,true
mobile,gtld,false,false
moda,gtld,false,false
moe,gtld,false,false
moi,gtld,true,false
mom,gtld,false,false
monash,gtld,true,false
money,gtld,false,false
monster,gtld,true,false
mormon,gtld,true,false
mortgage,gtld,false,false
moscow,gtld,false,false
moto,gtld,true,false
motorcycles,gtld,false,false
mov,gtld,false,false
movie,gtld,false,false
mp,cctld,false,true
mq,cctld,false,true
mr,cctld,false,true
ms,cctld,false,true
msd,gtld,true,false
mt,cctld,false,true
mtn,gtld,true,false
mtr,gtld,true,false
mu,cctld,false,true
museum,gtld,false,true
music,gtld,false,false
mv,cctld,false,true
mw,cctld,false,true
mx,cctld,false,true
my,cctld,false,true
mz,cctld,false,true
na,cctld,false,true
nab,gtld,true,false
nagoya,gtld,false,false
name,gtld,false,true
navy,gtld,false,false
nba,gtld,true,false
nc,cctld,false,true
ne,cctld,false,true
nec,gtld,true,false
net,gtld,false,true
netbank,gtld,true,false
netflix,gtld,true,false
network,gtld,false,false
neustar,gtld,true,false
new,gtld,false,false
news,gtld,false,false
next,gtld,true,false
nextdirect,gtld,true,false
nexus,gtld,true,false
nf,cctld,false,true
nfl,gtld,true,false
ng,cctld,false,true
ngo,gtld,false,false
nhk,gtld,true,false
ni,cctld,false,true
nico,gtld,true,false
nike,gtld,true,false
nikon,gtld,true,false
ninja,gtld,false,false
nissan,gtld,true,false
nissay,gtld,true,false
nl,cctld,false,true
no,cctld,false,true
nokia,gtld,true,false
norton,gtld,true,false
now,gtld,false,false
nowruz,gtld,true,false
nowtv,gtld,true,false
np,cctld,false,true
nr,cctld,false,true
nra,gtld,true,false
nrw,gtld,false,false
ntt,gtld,true,false
nu,cctld,false,true
nyc,gtld,false,false
nz,cctld,false,true
obi,gtld,true,false
observer,gtld,true,false
