Zone,Type,Brand,AutoLinked
george,gtld,true,false
gf,cctld,false,true
gg,cctld,false,true
ggee,gtld,true,true
gh,cctld,false,true
gi,cctld,false,true
gift,gtld,false,true
gifts,gtld,false,true
gives,gtld,false,true
giving,gtld,false,true
gl,cctld,false,true
glass,gtld,false,true
gle,gtld,true,true
global,gtld,false,true
globo,gtld,true,true
gm,cctld,false,true
gmail,gtld,true,true
gmbh,gtld,false,false
gmo,gtld,true,true
gmx,gtld,true,true
gn,cctld,false,true
godaddy,gtld,true,false
gold,gtld,false,true
goldpoint,gtld,true,true
golf,gtld,false,true
goodyear,gtld,true,false
goog,gtld,true,true
google,gtld,true,true
gop,gtld,false,true
got,gtld,true,false
gov,gtld,false,true
gp,cctld,false,true
gq,cctld,false,true
gr,cctld,false,true
grainger,gtld,true,true
graphics,gtld,false,true
gratis,gtld,false,true
green,gtld,false,true
gripe,gtld,false,true
grocery,gtld,false,false
group,gtld,false,true
gs,cctld,false,true
gt,cctld,false,true
gu,cctld,false,true
gucci,gtld,true,true
guge,gtld,true,true
guide,gtld,false,true
guitars,gtld,false,true
guru,gtld,false,true
gw,cctld,false,true
gy,cctld,false,true
hair,gtld,false,false
hamburg,gtld,false,true
hangout,gtld,false,true
haus,gtld,false,true
hbo,gtld,true,false
hdfc,gtld,true,false
hdfcbank,gtld,true,false
health,gtld,false,false
healthcare,gtld,false,true
help,gtld,false,true
helsinki,gtld,false,false
here,gtld,false,true
hermes,gtld,true,true
hiphop,gtld,false,true
hisamitsu,gtld,true,false
hitachi,gtld,true,true
hiv,gtld,false,true
hk,cctld,false,true
hkt,gtld,true,false
hm,cctld,false,true
hn,cctld,false,true
hockey,gtld,false,true
holdings,gtld,false,true
holiday,gtld,false,true
homedepot,gtld,true,true
homegoods,gtld,true,false
homes,gtld,false,true
homesense,gtld,true,false
honda,gtld,true,true
horse,gtld,false,true
hospital,gtld,false,false
host,gtld,false,true
hosting,gtld,false,true
hot,gtld,false,false
hotels,gtld,false,false
hotmail,gtld,true,true
house,gtld,false,true
how,gtld,false,true
hr,cctld,false,true
hsbc,gtld,true,true
ht,cctld,false,true
hu,cctld,false,true
hughes,gtld,true,false
hyatt,gtld,true,false
hyundai,gtld,true,true
ibm,gtld,true,true
icbc,gtld,true,true
ice,gtld,true,true
icu,gtld,true,true
id,cctld,false,true
ie,cctld,false,true
ieee,gtld,true,false
ifm,gtld,true,true
ikano,gtld,true,false
il,cctld,false,true
