Zone,Type,Brand,AutoLinked
fashion,gtld,false,false
fast,gtld,false,false
fedex,gtld,true,false
feedback,gtld,false,false
ferrari,gtld,true,false
ferrero,gtld,true,false
fi,cctld,false,true
fidelity,gtld,true,false
fido,gtld,true,false
film,gtld,false,false
final,gtld,false,false
finance,gtld,false,false
financial,gtld,false,false
fire,gtld,true,false
firestone,gtld,true,false
firmdale,gtld,false,false
fish,gtld,false,false
fishing,gtld,false,false
fit,gtld,false,false
fitness,gtld,false,false
fj,cctld,false,false
fk,cctld,false,false
flickr,gtld,true,false
flights,gtld,false,false
flir,gtld,true,false
florist,gtld,false,false
flowers,gtld,false,false
fly,gtld,false,false
fm,cctld,false,true
fo,cctld,false,false
foo,gtld,false,false
food,gtld,false,false
football,gtld,false,false
ford,gtld,true,false
forex,gtld,false,false
forsale,gtld,false,false
forum,gtld,false,false
foundation,gtld,false,false
fox,gtld,true,false
fr,cctld,false,true
free,gtld,false,false
fresenius,gtld,true,false
frl,gtld,false,false
frogans,gtld,true,false
frontier,gtld,true,false
ftr,gtld,false,false
fujitsu,gtld,true,false
fun,gtld,false,false
fund,gtld,false,false
furniture,gtld,false,false
futbol,gtld,false,false
fyi,gtld,false,false
ga,cctld,false,false
gal,gtld,false,false
gallery,gtld,false,false
gallo,gtld,true,false
gallup,gtld,true,false
game,gtld,false,false
games,gtld,false,false
gap,gtld,true,false
garden,gtld,false,false
gay,gtld,false,false
gb,cctld,false,false
gbiz,gtld,false,false
gd,cctld,false,false
gdn,gtld,false,true
ge,cctld,false,false
gea,gtld,true,false
gent,gtld,false,false
genting,gtld,true,false
george,gtld,true,false
gf,cctld,false,false
gg,cctld,false,false
ggee,gtld,false,false
gh,cctld,false,false
gi,cctld,false,false
gift,gtld,false,false
gifts,gtld,false,false
gives,gtld,false,false
giving,gtld,false,false
gl,cctld,false,true
glass,gtld,false,false
gle,gtld,false,false
global,gtld,false,false
globo,gtld,false,false
gm,cctld,false,false
gmail,gtld,true,false
gmbh,gtld,false,false
gmo,gtld,false,false
gmx,gtld,true,false
gn,cctld,false,false
godaddy,gtld,true,false
gold,gtld,false,false
goldpoint,gtld,true,false
golf,gtld,false,false
goodyear,gtld,true,false
goog,gtld,false,false
google,gtld,true,true
gop,gtld,false,false
got,gtld,false,false
gov,gtld,false,true
gp,cctld,false,false
gq,cctld,false,false
gr,cctld,false,true
grainger,gtld,true,false
graphics,gtld,false,false
gratis,gtld,false,false
green,gtld,false,false
gripe,gtld,false,false
grocery,gtld,false,false
group,gtld,false,false
gs,cctld,false,false
gt,cctld,false,false
gu,cctld,false,false
gucci,gtld,true,false
guge,gtld,false,false
guide,gtld,false,false
guitars,gtld,false,false
guru,gtld,false,false
gw,cctld,false,false
gy,cctld,false,false
hair,gtld,false,false
hamburg,gtld,false,false
hangout,gtld,false,false
haus,gtld,false,false
hbo,gtld,true,false
hdfc,gtld,true,false
hdfcbank,gtld,true,false
health,gtld,false,false
healthcare,gtld,false,false
help,gtld,false,false
helsinki,gtld,false,false
here,gtld,false,false
hermes,gtld,true,false
hiphop,gtld,false,false
hisamitsu,gtld,true,false
hitachi,gtld,true,false
hiv,gtld,false,false
hk,cctld,false,true
hkt,gtld,true,false
hm,cctld,false,false
hn,cctld,false,true
hockey,gtld,false,false
holdings,gtld,false,false
holiday,gtld,false,false
homedepot,gtld,true,false
homegoods,gtld,true,false
homes,gtld,false,false
homesense,gtld,true,false
honda,gtld,true,false
horse,gtld,false,false
hospital,gtld,false,false
host,gtld,false,false
hosting,gtld,false,false
hot,gtld,false,false
hotels,gtld,false,false
hotmail,gtld,true,false
house,gtld,false,false
how,gtld,false,false
hr,cctld,false,true
hsbc,gtld,true,false
ht,cctld,false,false
hu,cctld,false,true
hughes,gtld,true,false
hyatt,gtld,true,false
hyundai,gtld,true,false
ibm,gtld,true,false
icbc,gtld,true,false
ice,gtld,true,false
icu,gtld,false,false
id,cctld,false,true
ie,cctld,false,true
ieee,gtld,true,false
ifm,gtld,true,false
ikano,gtld,true,false
il,cctld,false,true
im,cctld,false,false
imamat,gtld,false,false
imdb,gtld,true,false
immo,gtld,false,false
immobilien,gtld,false,false
in,cctld,false,true
inc,gtld,false,false
industries,gtld,false,false
infiniti,gtld,true,false
info,gtld,false,true
ing,gtld,false,false
ink,gtld,false,false
institute,gtld,false,false
insurance,gtld,false,false
insure,gtld,false,false
int,gtld,false,false
international,gtld,false,false
intuit,gtld,true,false
investments,gtld,false,false
io,cctld,false,true
ipiranga,gtld,true,false
iq,cctld,false,false
ir,cctld,false,true
irish,gtld,false,false
is,cctld,false,true
ismaili,gtld,false,false
ist,gtld,false,false
istanbul,gtld,false,false
it,cctld,false,true
itau,gtld,true,false
itv,gtld,true,false
jaguar,gtld,true,false
java,gtld,true,false
jcb,gtld,true,false
je,cctld,false,false
jeep,gtld,true,false
jetzt,gtld,false,false
jewelry,gtld,false,false
jio,gtld,true,false
jll,gtld,true,false
jm,cctld,false,false
jmp,gtld,true,false
jnj,gtld,true,false
jo,cctld,false,true
jobs,gtld,false,false
joburg,gtld,false,false
jot,gtld,false,false
joy,gtld,false,false
jp,cctld,false,true
jpmorgan,gtld,true,false
jprs,gtld,false,false
juegos,gtld,false,false
juniper,gtld,true,false
kaufen,gtld,false,false
kddi,gtld,true,false
ke,cctld,false,false
kerryhotels,gtld,false,false
kerryproperties,gtld,false,false
kfh,gtld,false,false
kg,cctld,false,false
kh,cctld,false,false
ki,cctld,false,false
kia,gtld,true,false
kids,gtld,false,false
kim,gtld,false,false
kindle,gtld,true,false
kitchen,gtld,false,false
kiwi,gtld,false,false
km,cctld,false,false
kn,cctld,false,false
koeln,gtld,false,false
komatsu,gtld,true,false
kosher,gtld,false,false
kp,cctld,false,false
kpmg,gtld,true,false
kpn,gtld,true,false
kr,cctld,false,true
krd,gtld,false,false
kred,gtld,false,false
kuokgroup,gtld,false,false
kw,cctld,false,false
ky,cctld,false,false
kyoto,gtld,false,false
kz,cctld,false,false
la,cctld,false,true
lacaixa,gtld,false,false
lamborghini,gtld,true,false
lamer,gtld,true,false
land,gtld,false,false
landrover,gtld,true,false
